TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	2.5636489563671434	0.3193070677329334	0	True
1.5	2	0	3.9253698665004917	0.6806929322670666	0	True
2.0	3	1	5.436351043632857	0.28027078241045306	0	False
2.0	4	1	5.436351043632857	0.03903628532248034	0	True
2.0	5	2	4.074630133499508	0.3341768769387304	-1	True
2.0	6	2	4.074630133499508	0.3465160553283363	0	True
3.0	7	4	7	0.04117902313235142	1	False
3.0	8	3	7	0.10506908131744357	1	False
3.0	9	3	7	0.1905860235896786	1	True
3.0	10	6	7	0.31064571713339273	1	False
3.0	11	6	7	0.35252015482713356	1	True
