0	1	-1	subclone		
1	2	10	subclone	0,1,2,3,4,5,6	3
2	2	10	subclone	0,1,2,3,4,5,6,17,18,19,20,21,22,23,24	11
3	2	11	subclone	7,8,9,10,11,12,13,14,15,25,26,27,28,29	9
4	2	11	subclone	7,8,9,10,11,12,13,14,15,16,30	6
5	2	10	subclone	0,1,4,5,8,9,11,12,13,16,18,21,26,28,29	11,10
6	3	1	subclone	0,1,2,3,4,5,6	0
7	3	3	subclone	7,8,9,10,11,12,13,14,15,25,26,27,28,29	0
8	3	4	subclone	0,2,3,4,5,7,8,9,10,11,12,13,14,15,16,20,30	6
9	3	4	subclone	7,8,9,10,11,12,13,14,15,16,30	0
10	1.5	0	unobserved subclone	0,1,4,5	4
11	1.5	0	unobserved subclone	8,9,11,12,13	5
