TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	3.844618804352999	0.6527966797962071	0	True
1.5	2	0	1.895176518538347	0.34720332020379285	0	True
2.0	3	1	4.155381195647001	0.29418499783695784	0	False
2.0	4	1	4.155381195647001	0.3586116819592493	0	True
2.0	5	2	6.104823481461653	0.11001826295683452	-1	True
2.0	6	2	6.104823481461653	0.23718505724695835	0	True
3.0	7	4	7	0.4101292258687301	1	False
3.0	8	4	7	0.020184306924553138	1	True
3.0	9	3	7	0.23315652068844228	1	False
3.0	10	3	7	0.11984867150825508	1	True
3.0	11	6	7	0.08466564421382135	1	False
3.0	12	6	7	0.1320156307961981	1	True
