TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	0.7442934760810053	0.9772784355116727	0	True
1.5	2	0	3.8781379661131212	0.022721564488327295	0	True
2.0	3	1	7.255706523918994	0.442284140920989	0	False
2.0	4	1	7.255706523918994	0.5349942945906837	0	True
2.0	5	2	4.121862033886879	0.022721564488327295	0	False
3.0	6	4	7	0.05484711243729489	1	False
3.0	7	4	7	0.4801471821533888	1	True
3.0	8	3	7	0.33854621532294804	1	False
3.0	9	3	7	0.10373792559804097	1	True
3.0	10	5	7	0.010360509483931522	1	False
3.0	11	5	7	0.012361055004395773	1	True
