TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	3.3678208081467558	0.5076122059200774	0	True
1.5	2	0	2.1482709364487405	0.4923877940799226	0	True
2.0	3	1	4.632179191853244	0.35828050349383467	0	False
2.0	4	1	4.632179191853244	0.14933170242624275	0	True
2.0	5	2	5.851729063551259	0.48011789291787704	0	False
2.0	6	2	5.851729063551259	0.012269901162045588	0	True
3.0	7	4	7	0.14440498597356327	1	False
3.0	8	4	7	0.004926716452679486	1	True
3.0	9	3	7	0.35828050349383467	1	False
3.0	10	6	7	0.009132166515723045	1	False
3.0	11	6	7	0.0031377346463225438	1	True
3.0	12	5	7	0.3020217601449986	1	False
3.0	13	5	7	0.17809613277287845	1	True
