0	1	-1	subclone		
1	2	9	subclone	2,3,4,5,8,10,15,18,22,28	8,9,9,8
2	2	9	subclone	0,1,2,3,4,5,6,7,8,9,19,20	10,11,11
3	2	9	subclone	0,1,2,3,4,5,6,8,9,14,15,16,17,18	12,13,13
4	2	11	subclone	1,5,9,11,13,15,18	6,6
5	2	9	subclone	2,7,8,19,21,23,27	5,6
6	2	10	subclone	4,11,12,21,22,23,24,27	7,7,7
7	2	12	subclone	10,11,12,13,25,26,27,28	6,7,7
8	3	7	subclone	10,11,12,13,25,26,27,28	0
9	1.5	0	unobserved subclone	2,8	2
10	1.5	0	unobserved subclone	4	1
11	1.5	0	unobserved subclone	5	1
12	1.5	0	unobserved subclone	10,28	2
13	1.5	0	unobserved subclone	11	1
14	1.5	0	unobserved subclone	27	1
