0	1	-1	subclone		
1	2	9	subclone	1,2,3,4,5	4
2	2	9	subclone	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	19
3	2	9	subclone	0,3,8,10,11,12,14,15,16,18,19,20,21,28,32,34,35,41,42,44	19
4	3	1	subclone	1,2,3,4,5	0
5	3	2	subclone	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	0
6	3	2	subclone	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	13
7	3	1	subclone	0,1,2,3,4,5,7,8,9,10,11,12,14,15,16,17,18,19,20,24,25,27,28,30,31,32,33,41	23
8	3	1	subclone	1,2,3,4,5,34,35,36,37,38,39,40,41,42,43,44,45,46	13
9	1.5	0	unobserved subclone	3	1
