0	1	-1	subclone		
1	2	40	subclone	4	0
2	2	0	subclone		0
3	2	40	subclone	4,5,6,7,8,9,10,11,12	8
4	3	1	subclone	4	0,0
5	3	2	subclone		0
6	3	3	subclone	4,5,6,7,8,9,10,11,12	0,8,8,8,8,8,8,8,8,8
7	3	42	subclone	6,7,8,9,11,13,15,16,17,18,19,20,21,23,25,26,28,29	17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
8	3	41	subclone	4,5,6,7,8,9,10,11,12,13,18,20,23,24,25,26,28	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
9	3	41	subclone	4,6,7,8,9,11,13,14,16,17,18,21,25,27,28	14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
10	3	42	subclone	3,5,6,8,9,10,14,16,19,21,22,23,24,25,26,27	15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
11	3	41	subclone	4,5,6,8,9,11,12,13,14,15,16,17,18,19,20,22,25,26,27,28,29	20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
12	3	41	subclone	0,4,5,6,7,8,9,10,12,13,15,17,18,19,21,22,25,27	17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
13	3	41	subclone	4,5,7,8,10,11,13,14,19,20,21,22,23,24,26,27,28	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
14	3	41	subclone	4,6,7,8,12,13,14,17,18,19,20,21,23,24,26,27,29	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
15	3	41	subclone	4,6,9,10,11,13,14,15,16,17,18,19,20,21,24,26,27,28	17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
16	3	41	subclone	4,5,6,7,9,10,11,12,13,14,16,18,19,20,21,22,23,24,25,27,28	20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
17	3	41	subclone	1,4,6,7,8,12,13,15,18,19,20,21,22,24,26,29	15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18	3	43	subclone	5,7,10,11,12,14,15,20,25,27	9,9,9,9,9,9,9,9,9,9
19	3	41	subclone	0,3,4,6,7,8,9,10,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29	24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
20	3	41	subclone	4,6,7,8,10,12,13,14,15,16,17,20,21,22,23,24,25,27,28,29	19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
21	3	41	subclone	4,5,6,7,12,13,17,19,20,22,23,26	11,11,11,11,11,11,11,11,11,11,11,11
22	3	41	subclone	2,4,5,6,8,10,11,12,13,17,18,21,22,24,26,28,29	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
23	3	41	subclone	4,5,8,9,11,12,13,14,15,16,19,20,21,22,23,26,27,29	17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
