0	1	-1	subclone		
1	2	7	subclone	0,1,2,3,4,5,6,7,8,19	9,6
2	2	7	subclone	0,1,2,3,4,5,6,7,8,20,21,22,23,24,25	14,11
3	2	8	subclone	1,3,5,8,22,23,24,26,29,30,32,39	8,9,11
4	2	7	subclone	0,9,10,11,12,13,14,15,16,17,18,26,27,28,29,30,33,34	17,15,8
5	2	10	subclone	9,10,11,12,13,14,15,16,17,18,35,36,37,38,39	14,5
6	3	5	subclone	9,10,11,12,13,14,15,16,17,18,35,36,37,38,39	0
7	1.5	0	unobserved subclone	0	1
8	1.5	0	unobserved subclone	1,3,5,8	4
9	1.5	0	unobserved subclone	26,29,30	3
10	1.5	0	unobserved subclone	39	1
11	1.5	0	unobserved subclone	9,10,11,12,13,14,15,16,17,18	10
