0	1	-1	subclone		
1	2	8	subclone	1,2,3,4,5,6,8,9,14,15,16,17,18	12,12
2	2	8	subclone	0,1,2,3,4,5,6,7,8,9,19,20	11,11
3	2	9	subclone	0,1,3,6,7,8,14,15,16,17,18	10
4	2	9	subclone	2,7,8,9,21,23,27,28	7,6,6
5	2	8	subclone	4,11,12,21,22,23,24	6,5,5
6	2	11	subclone	10,11,12,13,25,26,27,28	6,6
7	3	6	subclone	10,11,12,13,25,26,27,28	0
8	1.5	0	unobserved subclone	4	1
9	1.5	0	unobserved subclone	8	1
10	1.5	0	unobserved subclone	21,23	2
11	1.5	0	unobserved subclone	27,28	2
12	1.5	0	unobserved subclone	11,12	2
