TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	5.9732468284206295	0.6425653025101199	0	True
1.5	2	0	5.718148645584634	0.3574346974898801	0	True
2.0	3	1	2.0267531715793705	0.64256530251012	0	False
2.0	4	2	2.281851354415366	0.310389356075767	0	False
2.0	5	2	2.281851354415366	0.04704534141411313	0	True
2.5	6	3	4.149511751959625	0.3771834140393246	1	False
2.5	7	3	3.3257594246761215	0.2653818884707953	1	True
2.5	8	5	1.7257331063604735	0.023884102020292244	1	False
2.5	9	5	5.662694259949005	0.02316123939382088	1	True
3.0	10	4	7	0.7933057735239201	1	False
3.0	11	4	7	0.20669422647607996	1	True
